Year,USA_Warheads,USSR_Warheads,USSR_SourceEntity,IsOlympicYear,City,USA_TotalMedals,USSR_TotalMedals,USA_GoldMedals,USSR_GoldMedals,BoycottBy
1945,2,0,Russia,False,,,,,,
1946,9,0,Russia,False,,,,,,
1947,13,0,Russia,False,,,,,,
1948,50,0,Russia,False,,,,,,
1949,170,1,Russia,False,,,,,,
1950,299,5,Russia,False,,,,,,
1951,438,25,Russia,False,,,,,,
1952,841,50,Russia,True,Helsinki,76.0,70.0,40.0,22.0,
1953,1169,120,Russia,False,,,,,,
1954,1703,150,Russia,False,,,,,,
1955,2422,200,Russia,False,,,,,,
1956,3692,426,Russia,True,Melbourne,74.0,98.0,32.0,37.0,
1957,5543,660,Russia,False,,,,,,
1958,7345,863,Russia,False,,,,,,
1959,12298,1048,Russia,False,,,,,,
1960,18638,1627,Russia,True,Roma,71.0,103.0,34.0,43.0,
1961,22229,2492,Russia,False,,,,,,
1962,25540,3346,Russia,False,,,,,,
1963,28133,4259,Russia,False,,,,,,
1964,29463,5242,Russia,True,Tokyo,90.0,93.0,36.0,30.0,
1965,31139,6144,Russia,False,,,,,,
1966,31175,7091,Russia,False,,,,,,
1967,31255,8400,Russia,False,,,,,,
1968,29561,9490,Russia,True,Mexico City,107.0,91.0,45.0,29.0,
1969,27552,10671,Russia,False,,,,,,
1970,26008,11736,Russia,False,,,,,,
1971,25830,13279,Russia,False,,,,,,
1972,26516,14600,Russia,True,Munich,94.0,99.0,33.0,50.0,
1973,27835,15878,Russia,False,,,,,,
1974,28537,17286,Russia,False,,,,,,
1975,27519,19235,Russia,False,,,,,,
1976,25914,22165,Russia,True,Montreal,94.0,125.0,34.0,49.0,
1977,25542,24281,Russia,False,,,,,,
1978,24418,26169,Russia,False,,,,,,
1979,24138,28258,Russia,False,,,,,,
1980,24104,30665,Russia,True,Moskva,,195.0,,80.0,USA
1981,23208,32146,Russia,False,,,,,,
1982,22886,33486,Russia,False,,,,,,
1983,23305,35130,Russia,False,,,,,,
1984,23459,36825,Russia,True,Los Angeles,173.0,,82.0,,URS
1985,23368,38582,Russia,False,,,,,,
1986,23317,40159,Russia,False,,,,,,
1987,23575,38107,Russia,False,,,,,,
1988,23205,36538,Russia,True,Seoul,94.0,131.0,36.0,54.0,
1989,22217,35078,Russia,False,,,,,,
1990,21392,32980,Russia,False,,,,,,
1991,19008,29154,Russia,False,,,,,,
