Year,City,NOC,Country,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,ParticipationStatus,BoycottBy
1952,Helsinki,ARG,Argentina,1.0,2.0,2.0,5.0,participated,
1952,Helsinki,AUS,Australia,6.0,2.0,3.0,11.0,participated,
1952,Helsinki,AUT,Austria,0.0,1.0,1.0,2.0,participated,
1952,Helsinki,BEL,Belgium,2.0,2.0,0.0,4.0,participated,
1952,Helsinki,BRA,Brazil,1.0,0.0,2.0,3.0,participated,
1952,Helsinki,BUL,Bulgaria,0.0,0.0,1.0,1.0,participated,
1952,Helsinki,CAN,Canada,1.0,2.0,0.0,3.0,participated,
1952,Helsinki,CHI,Chile,0.0,2.0,0.0,2.0,participated,
1952,Helsinki,DEN,Denmark,2.0,1.0,3.0,6.0,participated,
1952,Helsinki,EGY,Egypt,0.0,0.0,1.0,1.0,participated,
1952,Helsinki,ESP,Spain,0.0,1.0,0.0,1.0,participated,
1952,Helsinki,FIN,Finland,6.0,3.0,13.0,22.0,participated,
1952,Helsinki,FRA,France,6.0,6.0,6.0,18.0,participated,
1952,Helsinki,GBR,Great Britain,1.0,2.0,8.0,11.0,participated,
1952,Helsinki,GER,Germany,0.0,7.0,17.0,24.0,participated,
1952,Helsinki,HUN,Hungary,16.0,10.0,16.0,42.0,participated,
1952,Helsinki,IND,India,1.0,0.0,1.0,2.0,participated,
1952,Helsinki,IRI,Iran,0.0,3.0,4.0,7.0,participated,
1952,Helsinki,IRL,Ireland,0.0,1.0,0.0,1.0,participated,
1952,Helsinki,ITA,Italy,8.0,9.0,4.0,21.0,participated,
1952,Helsinki,JAM,Jamaica,2.0,3.0,0.0,5.0,participated,
1952,Helsinki,JPN,Japan,1.0,6.0,1.0,8.0,participated,
1952,Helsinki,KOR,South Korea,0.0,0.0,2.0,2.0,participated,
1952,Helsinki,LIB,Lebanon,0.0,1.0,1.0,2.0,participated,
1952,Helsinki,LUX,Luxembourg,1.0,0.0,0.0,1.0,participated,
1952,Helsinki,MEX,Mexico,0.0,1.0,0.0,1.0,participated,
1952,Helsinki,NED,Netherlands,0.0,5.0,0.0,5.0,participated,
1952,Helsinki,NOR,Norway,3.0,2.0,0.0,5.0,participated,
1952,Helsinki,NZL,New Zealand,1.0,0.0,2.0,3.0,participated,
1952,Helsinki,POL,Poland,1.0,2.0,1.0,4.0,participated,
1952,Helsinki,POR,Portugal,0.0,0.0,1.0,1.0,participated,
1952,Helsinki,ROU,Romania,1.0,1.0,2.0,4.0,participated,
1952,Helsinki,RSA,South Africa,2.0,4.0,4.0,10.0,participated,
1952,Helsinki,SUI,Switzerland,2.0,6.0,6.0,14.0,participated,
1952,Helsinki,SWE,Sweden,12.0,13.0,10.0,35.0,participated,
1952,Helsinki,TCH,Czechoslovakia,7.0,3.0,3.0,13.0,participated,
1952,Helsinki,TTO,Trinidad and Tobago,0.0,0.0,2.0,2.0,participated,
1952,Helsinki,TUR,Turkey,2.0,0.0,1.0,3.0,participated,
1952,Helsinki,URS,Soviet Union,22.0,29.0,19.0,70.0,participated,
1952,Helsinki,URU,Uruguay,0.0,0.0,2.0,2.0,participated,
1952,Helsinki,USA,United States,40.0,19.0,17.0,76.0,participated,
1952,Helsinki,VEN,Venezuela,0.0,0.0,1.0,1.0,participated,
1952,Helsinki,YUG,Yugoslavia,1.0,2.0,0.0,3.0,participated,
1956,Melbourne / Stockholm,ARG,Argentina,0.0,1.0,1.0,2.0,participated,
1956,Melbourne / Stockholm,AUS,Australia,13.0,8.0,14.0,35.0,participated,
1956,Melbourne / Stockholm,AUT,Austria,0.0,0.0,2.0,2.0,participated,
1956,Melbourne,BAH,Bahamas,0.0,0.0,1.0,1.0,participated,
1956,Melbourne / Stockholm,BEL,Belgium,0.0,2.0,0.0,2.0,participated,
1956,Melbourne / Stockholm,BRA,Brazil,1.0,0.0,0.0,1.0,participated,
