EncounterId,Year,City,Sport,Event,EncounterType,USAParticipant,USSRParticipant,Winner,StageRaw,StageNormalized,ScoreRaw,USAScore,USSRScore,SourceName,SourceUrl,MatchSourceUrl,OlympediaResultId,OlympediaMatchId
olympedia-31971,1952,Helsinki,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Final Round,Final,36 – 25,36.0,25.0,Olympedia,https://www.olympedia.org/results/31969,https://www.olympedia.org/results/31971,31969,31971
olympedia-31990,1952,Helsinki,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Group B,Group B,86 – 58,86.0,58.0,Olympedia,https://www.olympedia.org/results/31969,https://www.olympedia.org/results/31990,31969,31990
olympedia-22598,1952,Helsinki,Boxing,"Light-Welterweight, Men",individual,Chuck Adkins,Viktor Mednov,USA,Final Round,Final,Decision,,,Olympedia,https://www.olympedia.org/results/22596,https://www.olympedia.org/results/22598,22596,22598
olympedia-123175,1952,Helsinki,Wrestling,"Bantamweight, Freestyle, Men",individual,Bill Borders,Rəşid Məmmədbəyov,USSR,Round Three,Round 3,Fall (10:40),,,Olympedia,https://www.olympedia.org/results/123159,https://www.olympedia.org/results/123175,123159,123175
olympedia-123221,1952,Helsinki,Wrestling,"Featherweight, Freestyle, Men",individual,Joe Henson,Ibrahim Dadashev,USA,Round Four,Round 4,Decision (2-1),,,Olympedia,https://www.olympedia.org/results/123202,https://www.olympedia.org/results/123221,123202,123221
olympedia-123137,1952,Helsinki,Wrestling,"Flyweight, Freestyle, Men",individual,Hugh Peery,Georgy Sayadov,USSR,Round Three,Round 3,Decision (3-0),,,Olympedia,https://www.olympedia.org/results/123126,https://www.olympedia.org/results/123137,123126,123137
olympedia-123405,1952,Helsinki,Wrestling,"Light-Heavyweight, Freestyle, Men",individual,Henry Wittenberg,August Englas,USA,Round Four,Round 4,Decision (3-0),,,Olympedia,https://www.olympedia.org/results/123396,https://www.olympedia.org/results/123405,123396,123405
olympedia-123384,1952,Helsinki,Wrestling,"Middleweight, Freestyle, Men",individual,Dan Hodge,Davit Tsimak'uridze,USSR,Round Two,Round 2,Fall (5:58),,,Olympedia,https://www.olympedia.org/results/123355,https://www.olympedia.org/results/123384,123355,123384
olympedia-32046,1956,Melbourne,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Final Round,Final,89 – 55,89.0,55.0,Olympedia,https://www.olympedia.org/results/32044,https://www.olympedia.org/results/32046,32044,32046
olympedia-32068,1956,Melbourne,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Group B,Group B,85 – 55,85.0,55.0,Olympedia,https://www.olympedia.org/results/32044,https://www.olympedia.org/results/32068,32044,32068
olympedia-22962,1956,Melbourne,Boxing,"Heavyweight, Men",individual,Pete Rademacher,Lev Mukhin,USA,Final Round,Final,Referee stops contest,,,Olympedia,https://www.olympedia.org/results/22960,https://www.olympedia.org/results/22962,22960,22962
