Year,Sport,Scope,USATotal,USSRTotal,USAGold,USSRGold,TotalDifference,GoldDifference
1952,Athletics,all_games,31,17,15,2,14,13
1952,Basketball,all_games,1,1,1,0,0,1
1952,Boxing,all_games,5,6,5,0,-1,5
1952,Canoeing,all_games,1,1,1,0,0,1
1952,Diving,all_games,9,0,4,0,9,4
1952,Gymnastics,all_games,0,21,0,9,-21,-9
1952,Rowing,all_games,3,3,2,1,0,1
1952,Sailing,all_games,3,0,2,0,3,2
1952,Shooting,all_games,2,4,1,1,-2,0
1952,Swimming,all_games,9,0,4,0,9,4
1952,Weightlifting,all_games,6,7,4,3,-1,1
1952,Wrestling,all_games,4,10,1,6,-6,-5
1956,Athletics,all_games,31,22,16,5,9,11
1956,Basketball,all_games,1,1,1,0,0,1
1956,Boxing,all_games,3,6,2,3,-3,-1
1956,Canoeing,all_games,0,7,0,2,-7,-2
1956,Diving,all_games,9,0,3,0,9,3
1956,Fencing,all_games,0,2,0,0,-2,0
1956,Football,all_games,0,1,0,1,-1,-1
1956,Gymnastics,all_games,0,23,0,11,-23,-11
1956,Rowing,all_games,6,4,3,2,2,1
1956,Sailing,all_games,2,0,1,0,2,1
1956,Shooting,all_games,1,8,0,3,-7,-3
1956,Swimming,all_games,11,2,2,0,9,2
1956,Water Polo,all_games,0,1,0,0,-1,0
1956,Weightlifting,all_games,7,7,4,3,0,1
1956,Wrestling,all_games,2,13,0,6,-11,-6
1960,Athletics,all_games,26,21,12,11,5,1
1960,Basketball,all_games,1,1,1,0,0,1
1960,Boxing,all_games,4,5,3,1,-1,2
1960,Canoeing,all_games,0,4,0,3,-4,-3
1960,Cycling,all_games,0,5,0,1,-5,-1
1960,Diving,all_games,6,1,2,0,5,2
1960,Fencing,all_games,1,7,0,3,-6,-3
1960,Gymnastics,all_games,0,26,0,10,-26,-10
1960,Rowing,all_games,2,5,1,2,-3,-1
1960,Sailing,all_games,2,2,1,1,0,0
1960,Shooting,all_games,2,7,1,2,-5,-1
1960,Swimming,all_games,15,0,9,0,15,9
1960,Water Polo,all_games,0,1,0,0,-1,0
1960,Weightlifting,all_games,6,6,1,5,0,-4
1960,Wrestling,all_games,3,10,3,3,-7,0
1964,Athletics,all_games,24,18,14,5,6,9
1964,Basketball,all_games,1,1,1,0,0,1
1964,Boxing,all_games,4,9,1,3,-5,-2
1964,Canoeing,all_games,2,4,0,3,-2,-3
1964,Cycling,all_games,0,1,0,0,-1,0
1964,Diving,all_games,8,1,3,0,7,3
1964,Fencing,all_games,0,6,0,3,-6,-3
1964,Gymnastics,all_games,0,18,0,4,-18,-4
1964,Judo,all_games,1,2,0,0,-1,0
1964,Rowing,all_games,4,2,2,2,2,0
1964,Sailing,all_games,5,0,0,0,5,0
1964,Shooting,all_games,7,2,2,0,5,2
1964,Swimming,all_games,29,4,13,1,25,12
1964,Volleyball,all_games,0,2,0,1,-2,-1
1964,Water Polo,all_games,0,1,0,0,-1,0
1964,Weightlifting,all_games,2,7,0,4,-5,-4
1964,Wrestling,all_games,1,10,0,3,-9,-3
1968,Athletics,all_games,28,13,15,3,15,12
1968,Basketball,all_games,1,1,1,0,0,1
1968,Boxing,all_games,7,6,2,3,1,-1
1968,Canoeing,all_games,0,6,0,2,-6,-2
1968,Diving,all_games,6,2,2,0,4,2
1968,Fencing,all_games,0,7,0,3,-7,-3
1968,Gymnastics,all_games,0,18,0,5,-18,-5
1968,Rowing,all_games,2,2,0,1,0,-1
1968,Sailing,all_games,2,1,2,1,1,1
1968,Shooting,all_games,3,5,1,2,-2,-1
1968,Swimming,all_games,52,8,21,0,44,21
1968,Volleyball,all_games,0,2,0,2,-2,-2
1968,Water Polo,all_games,0,1,0,0,-1,0
1968,Weightlifting,all_games,1,6,0,3,-5,-3
1968,Wrestling,all_games,2,9,0,3,-7,-3
1972,Archery,all_games,2,1,2,0,1,2
1972,Athletics,all_games,22,17,6,9,5,-3
1972,Basketball,all_games,1,1,0,1,0,-1
1972,Boxing,all_games,4,2,1,2,2,-1
1972,Canoeing,all_games,1,6,0,6,-5,-6
1972,Cycling,all_games,0,3,0,2,-3,-2
1972,Diving,all_games,3,1,1,1,2,0
1972,Fencing,all_games,0,7,0,2,-7,-2
1972,Football,all_games,0,1,0,0,-1,0
1972,Gymnastics,all_games,0,16,0,6,-16,-6
1972,Judo,all_games,0,4,0,1,-4,-1
1972,Rowing,all_games,1,2,0,2,-1,-2
1972,Sailing,all_games,3,2,1,1,1,0
1972,Shooting,all_games,4,4,2,1,0,1
1972,Swimming,all_games,43,5,17,0,38,17
1972,Volleyball,all_games,0,2,0,1,-2,-1
1972,Water Polo,all_games,1,1,0,1,0,-1
1972,Weightlifting,all_games,0,5,0,3,-5,-3
1972,Wrestling,all_games,6,14,3,9,-8,-6
1976,Archery,all_games,2,2,2,0,0,2
1976,Athletics,all_games,22,18,6,4,4,2
1976,Basketball,all_games,2,2,1,1,0,0
1976,Boxing,all_games,7,5,5,0,2,5
1976,Canoeing,all_games,0,9,0,6,-9,-6
1976,Cycling,all_games,0,2,0,1,-2,-1
1976,Diving,all_games,5,3,2,1,2,1
1976,Fencing,all_games,0,7,0,3,-7,-3
1976,Football,all_games,0,1,0,0,-1,0
1976,Gymnastics,all_games,1,17,0,7,-16,-7
1976,Judo,all_games,1,5,0,2,-4,-2
1976,Rowing,all_games,3,9,0,1,-6,-1
1976,Sailing,all_games,3,2,0,0,1,0
1976,Shooting,all_games,3,3,2,1,0,1
1976,Swimming,all_games,34,9,13,1,25,12
1976,Volleyball,all_games,0,2,0,0,-2,0
1976,Weightlifting,all_games,1,8,0,7,-7,-7
1976,Wrestling,all_games,6,18,1,12,-12,-11
1988,Archery,all_games,3,1,1,0,2,1
1988,Athletics,all_games,26,26,13,10,0,3
1988,Basketball,all_games,2,2,1,1,0,0
1988,Boxing,all_games,8,4,3,1,4,2
1988,Canoeing,all_games,2,6,2,3,-4,-1
1988,Cycling,all_games,1,7,0,4,-6,-4
1988,Diving,all_games,5,0,2,0,5,2
1988,Fencing,all_games,0,5,0,1,-5,-1
1988,Football,all_games,0,1,0,1,-1,-1
1988,Gymnastics,all_games,1,18,0,10,-17,-10
1988,Judo,all_games,2,5,0,0,-3,0
1988,Rowing,all_games,3,3,0,0,0,0
1988,Sailing,all_games,5,2,1,0,3,1
1988,Shooting,all_games,1,11,0,4,-10,-4
1988,Swimming,all_games,18,9,8,2,9,6
1988,Tennis,all_games,5,0,2,0,5,2
1988,Volleyball,all_games,1,2,1,1,-1,0
1988,Water Polo,all_games,1,1,0,0,0,0
1988,Weightlifting,all_games,0,8,0,6,-8,-6
1988,Wrestling,all_games,6,15,2,8,-9,-6
ALL,Archery,all_games,7,4,5,0,3,5
ALL,Athletics,all_games,210,152,97,49,58,48
ALL,Basketball,all_games,10,10,7,3,0,4
ALL,Boxing,all_games,42,43,22,13,-1,9
ALL,Canoeing,all_games,6,43,3,25,-37,-22
ALL,Cycling,all_games,1,18,0,8,-17,-8
ALL,Diving,all_games,51,8,19,2,43,17
ALL,Fencing,all_games,1,41,0,15,-40,-15
ALL,Football,all_games,0,4,0,2,-4,-2
ALL,Gymnastics,all_games,2,157,0,62,-155,-62
ALL,Judo,all_games,4,16,0,3,-12,-3
