NOC,StartYear,EndYear,Country,GwCodes,Status,Reason
AFG,1956,1988,Afghanistan,700,mapped,
AHO,1952,1988,Netherlands Antilles,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
ALB,1972,1972,Albania,339,mapped,
ALG,1964,1988,Algeria,615,mapped,
AND,1976,1988,Andorra,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
ANG,1980,1988,Angola,540,mapped,
ANT,1976,1988,Antigua and Barbuda,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
ARG,1952,1988,Argentina,160,mapped,
ARU,1988,1988,Aruba,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
ASA,1988,1988,American Samoa,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
AUS,1952,1988,Australia,900,mapped,
AUT,1952,1988,Austria,305,mapped,
BAH,1952,1988,Bahamas,31,mapped,
BAN,1984,1988,Bangladesh,771,mapped,
BAR,1968,1988,Barbados,53,mapped,
BEL,1952,1988,Belgium,211,mapped,
BEN,1972,1988,Benin,434,mapped,
BER,1952,1988,Bermuda,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
BHU,1984,1988,Bhutan,760,mapped,
BIZ,1968,1988,Belize,80,mapped,
BOL,1964,1988,Bolivia,145,mapped,
BOT,1980,1988,Botswana,571,mapped,
BRA,1952,1988,Brazil,140,mapped,
BRN,1984,1988,Bahrain,692,mapped,
BUL,1952,1988,Bulgaria,355,mapped,
BUR,1972,1988,Burkina Faso,439,mapped,
CAF,1968,1988,Central African Republic,482,mapped,
CAM,1956,1972,Cambodia,811,mapped,
CAN,1952,1988,Canada,20,mapped,
CAY,1976,1988,Cayman Islands,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
CGO,1964,1988,Congo (Brazzaville),484,mapped,
CHA,1964,1988,Chad,483,mapped,
CHI,1952,1988,Chile,155,mapped,
CHN,1952,1988,China,710,mapped,
CIV,1964,1988,Cote d'Ivoire,437,mapped,
CMR,1964,1988,Cameroon,471,mapped,
COD,1968,1988,Congo (Kinshasa),490,mapped,
COK,1988,1988,Cook Islands,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
COL,1956,1988,Colombia,100,mapped,
CRC,1964,1988,Costa Rica,94,mapped,
CUB,1952,1980,Cuba,40,mapped,
CYP,1980,1988,Cyprus,352,mapped,
DEN,1952,1988,Denmark,390,mapped,
DJI,1984,1988,Djibouti,522,mapped,
DOM,1964,1988,Dominican Republic,42,mapped,
ECU,1968,1988,Ecuador,130,mapped,
EGY,1952,1988,Egypt,651,mapped,
ESA,1968,1988,El Salvador,92,mapped,
ESP,1952,1988,Spain,230,mapped,
ETH,1956,1980,Ethiopia,530,mapped,
FIJ,1956,1988,Fiji,950,mapped,
FIN,1952,1988,Finland,375,mapped,
FRA,1952,1988,France,220,mapped,
FRG,1968,1988,West Germany,260,mapped,
GAB,1972,1988,Gabon,481,mapped,
GAM,1984,1988,Gambia,420,mapped,
GBR,1952,1988,Great Britain,200,mapped,
GDR,1968,1988,East Germany,265,mapped,
GEQ,1984,1988,Equatorial Guinea,411,mapped,
GER,1952,1952,Germany,260,mapped,
GER,1956,1964,United Team of Germany,260;265,mapped,
GHA,1952,1988,Ghana,452,mapped,
GRE,1952,1988,Greece,350,mapped,
GRN,1984,1988,Grenada,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
GUA,1952,1988,Guatemala,90,mapped,
GUI,1968,1988,Guinea,438,mapped,
GUM,1988,1988,Guam,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
GUY,1952,1988,Guyana,110,mapped,
HAI,1960,1988,Haiti,41,mapped,
HKG,1952,1988,Hong Kong,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
HON,1968,1988,Honduras,91,mapped,
HUN,1952,1988,Hungary,310,mapped,
INA,1952,1988,Indonesia,850,mapped,
IND,1952,1988,India,750,mapped,
IRI,1952,1988,Iran,630,mapped,
IRL,1952,1988,Ireland,205,mapped,
IRQ,1960,1988,Iraq,645,mapped,
ISL,1952,1988,Iceland,395,mapped,
ISR,1952,1988,Israel,666,mapped,
ISV,1968,1988,United States Virgin Islands,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
ITA,1952,1988,Italy,325,mapped,
IVB,1984,1988,British Virgin Islands,,excluded_non_sovereign,Olympic delegation does not correspond to an independent sovereign-state geometry in the adopted CShapes choropleth.
JAM,1952,1988,Jamaica,51,mapped,
JOR,1980,1988,Jordan,663,mapped,
JPN,1952,1988,Japan,740,mapped,
KEN,1956,1988,Kenya,501,mapped,
KOR,1952,1988,South Korea,732,mapped,
KSA,1972,1988,Saudi Arabia,670,mapped,
KUW,1968,1988,Kuwait,690,mapped,
LAO,1980,1988,Laos,812,mapped,
LBA,1968,1988,Libya,620,mapped,
LBR,1956,1988,Liberia,450,mapped,
LES,1972,1988,Lesotho,570,mapped,
LIB,1952,1988,Lebanon,660,mapped,
LIE,1952,1988,Liechtenstein,,excluded_no_cshapes_geometry,No corresponding geometry is available in the adopted CShapes/Gleditsch-Ward sovereign-state basemap for this Olympic scope.
LUX,1952,1988,Luxembourg,212,mapped,
