olympedia_result_id,sport,event,match_tables_detected,source_exact_usa_urs_rows,usa_urs_pairings_detected,unparsed_exact_pair_rows,unparsed_match_ids,parse_status,source_local_file
15000,Judo,"Lightweight, Men",11,0,0,0,,ok,15000.html
15091,Judo,"Heavyweight, Men",8,1,1,0,,ok,15091.html
15139,Judo,"Lightweight, Men",12,0,0,0,,ok,15139.html
15190,Judo,"Half-Middleweight, Men",12,0,0,0,,ok,15190.html
15240,Judo,"Middleweight, Men",14,1,1,0,,ok,15240.html
15299,Judo,"Half-Heavyweight, Men",12,1,1,0,,ok,15299.html
15351,Judo,"Heavyweight, Men",12,0,0,0,,ok,15351.html
15391,Judo,"Open Class, Men",12,0,0,0,,ok,15391.html
15442,Judo,"Lightweight, Men",11,0,0,0,,ok,15442.html
15492,Judo,"Half-Middleweight, Men",11,0,0,0,,ok,15492.html
15540,Judo,"Middleweight, Men",11,0,0,0,,ok,15540.html
15591,Judo,"Half-Heavyweight, Men",13,0,0,0,,ok,15591.html
15646,Judo,"Heavyweight, Men",11,0,0,0,,ok,15646.html
15684,Judo,"Open Class, Men",11,0,0,0,,ok,15684.html
16446,Judo,"Extra-Lightweight, Men",13,0,0,0,,ok,16446.html
16505,Judo,"Half-Lightweight, Men",13,0,0,0,,ok,16505.html
16571,Judo,"Lightweight, Men",13,0,0,0,,ok,16571.html
16634,Judo,"Half-Middleweight, Men",13,1,1,0,,ok,16634.html
16697,Judo,"Middleweight, Men",13,0,0,0,,ok,16697.html
16754,Judo,"Half-Heavyweight, Men",11,0,0,0,,ok,16754.html
16794,Judo,"Heavyweight, Men",11,0,0,0,,ok,16794.html
22468,Boxing,"Flyweight, Men",6,0,0,0,,ok,22468.html
22501,Boxing,"Bantamweight, Men",5,0,0,0,,ok,22501.html
22529,Boxing,"Featherweight, Men",5,0,0,0,,ok,22529.html
22564,Boxing,"Lightweight, Men",5,0,0,0,,ok,22564.html
22596,Boxing,"Light-Welterweight, Men",5,1,1,0,,ok,22596.html
22629,Boxing,"Welterweight, Men",5,0,0,0,,ok,22629.html
22663,Boxing,"Light-Middleweight, Men",5,0,0,0,,ok,22663.html
22691,Boxing,"Middleweight, Men",5,0,0,0,,ok,22691.html
22719,Boxing,"Light-Heavyweight, Men",5,0,0,0,,ok,22719.html
22742,Boxing,"Heavyweight, Men",6,0,0,0,,ok,22742.html
22769,Boxing,"Flyweight, Men",5,0,0,0,,ok,22769.html
22839,Boxing,"Lightweight, Men",5,0,0,0,,ok,22839.html
22862,Boxing,"Light-Welterweight, Men",5,0,0,0,,ok,22862.html
22889,Boxing,"Welterweight, Men",4,0,0,0,,ok,22889.html
22909,Boxing,"Light-Middleweight, Men",4,0,0,0,,ok,22909.html
22927,Boxing,"Middleweight, Men",4,0,0,0,,ok,22927.html
