candidate_id,olympedia_result_id,edition,edition_id,year,city,sport,event,gender,encounter_type,usa_local_entries,ussr_local_entries,usa_local_participants,ussr_local_participants,source_url
result-31969,31969,1952 Summer Olympics,13,1952,Helsinki,Basketball,"Basketball, Men",Men,team,14,14,Bill Hougland | Bill Lienhard | Bob Kenney | Bob Kurland | Charlie Hoag | Clyde Lovellette | Dan Pippin | Dean Kelley | Frank McCabe | Howie Williams | John Keller | Marc Freiberger | Ron Bontemps | Wayne Glasgow,Aleksandr Moiseyev | Anatoly Konev | Heino Kruus | Ilmar Kullam | Joann Lõssov | Justinas Lagunavičius | Kazys Petkevičius | Maigonis Valdmanis | Nodar Jorjik'ia | Otar Korkia | Stasys Stonkus | Stepas Butautas | Viktor Vlasov | Yury Ozerov,https://www.olympedia.org/results/31969
result-22501,22501,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Bantamweight, Men",Men,individual,1,2,Davey Moore,Boris Stepanov | Gennady Garbuzov,https://www.olympedia.org/results/22501
result-22529,22529,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Featherweight, Men",Men,individual,2,1,Bobby Bickle | Edson Brown,Yury Sokolov,https://www.olympedia.org/results/22529
result-22468,22468,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Flyweight, Men",Men,individual,1,1,Nate Brooks,Anatoly Bulakov,https://www.olympedia.org/results/22468
result-22742,22742,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Heavyweight, Men",Men,individual,2,1,Ed Sanders | Norvel Lee,Algirdas Šocikas,https://www.olympedia.org/results/22742
result-22719,22719,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Light-Heavyweight, Men",Men,individual,2,2,Chuck Spieser | Norvel Lee,Anatoly Perov | Yury Yegorov,https://www.olympedia.org/results/22719
result-22663,22663,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Light-Middleweight, Men",Men,individual,2,2,Spider Webb | Tony Anthony,Boris Tishin | Gleb Tolstikov,https://www.olympedia.org/results/22663
result-22596,22596,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Light-Welterweight, Men",Men,individual,2,2,Chuck Adkins | Joe Reynolds,German Lobodin | Viktor Mednov,https://www.olympedia.org/results/22596
result-22564,22564,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Lightweight, Men",Men,individual,2,1,Archie Slaten | Bobby Bickle,Aleksandr Zasukhin,https://www.olympedia.org/results/22564
result-22691,22691,1952 Summer Olympics,13,1952,Helsinki,Boxing,"Middleweight, Men",Men,individual,1,1,Floyd Patterson,Boris Silchev,https://www.olympedia.org/results/22691
